accX,accY,accZ,gyroX,gyroY,gyroZ
0.21661376953125,-0.43719482421875,-0.835693359375,0.02063284069299698,-0.01900964416563511,-0.07615016400814056
-0.3764190673828125,-0.5935821533203125,-0.7803955078125,-0.9285526275634766,1.6078965663909912,-0.2648351192474365
-0.292327880859375,-0.5833740234375,-0.86334228515625,-0.8814181685447693,1.5572993755340576,-0.32495784759521484
-0.215301513671875,-0.5899505615234375,-0.9343109130859375,-0.7796875238418579,1.4268732070922852,-0.24065469205379486
-0.145355224609375,-0.5902099609375,-1.0004425048828125,-0.6464924812316895,1.1684238910675049,-0.04124064743518829
-0.0954437255859375,-0.584930419921875,-1.0243988037109375,-0.5265969634056091,0.819503664970398,0.19724781811237335
-0.0714874267578125,-0.5628509521484375,-0.9907989501953125,-0.46139079332351685,0.5869990587234497,0.4035155177116394
-0.096832275390625,-0.5350494384765625,-0.9249267578125,-0.460894912481308,0.5061126947402954,0.5261716246604919
-0.1697998046875,-0.5265350341796875,-0.861297607421875,-0.4958169460296631,0.5591453313827515,0.5504266619682312
-0.25897216796875,-0.5406494140625,-0.8332977294921875,-0.5964292883872986,0.6533503532409668,0.47380831837654114
-0.3110504150390625,-0.56939697265625,-0.827880859375,-0.6800967454910278,0.7777250409126282,0.33397290110588074
-0.316986083984375,-0.5875091552734375,-0.8203277587890625,-0.8498109579086304,1.0101732015609741,0.17434464395046234
-0.29498291015625,-0.5690460205078125,-0.77301025390625,-1.0910123586654663,1.0395026206970215,0.05470585450530052
-0.2644195556640625,-0.5377349853515625,-0.736419677734375,-1.3382970094680786,1.0971318483352661,-0.017837053164839745
-0.2277069091796875,-0.5086212158203125,-0.74652099609375,-1.611892580986023,1.235160231590271,-0.05764332413673401
-0.201171875,-0.48370361328125,-0.75048828125,-1.8841992616653442,1.2976516485214233,-0.09039541333913803
-0.1597747802734375,-0.4662933349609375,-0.767913818359375,-2.138840913772583,1.2319903373718262,-0.10855257511138916
-0.1057586669921875,-0.4553680419921875,-0.8243865966796875,-2.3327739238739014,1.071226954460144,-0.02738555148243904
-0.0672607421875,-0.4528350830078125,-0.883331298828125,-2.440469980239868,0.8057601451873779,0.109806127846241
-0.0372772216796875,-0.445892333984375,-0.9325714111328125,-2.4469480514526367,0.486858606338501,0.2671544551849365
-0.012664794921875,-0.4256439208984375,-0.9751434326171875,-2.383119821548462,0.2700570523738861,0.42293182015419006
-0.004669189453125,-0.4015655517578125,-0.9846954345703125,-2.2343485355377197,0.3150476813316345,0.5639975666999817
0.0134735107421875,-0.4335479736328125,-0.994232177734375,-2.0383706092834473,0.33002665638923645,0.7244844436645508
-0.110809326171875,-0.3766632080078125,-0.991455078125,-1.8708791732788086,0.4076032042503357,0.8672730326652527
-0.14874267578125,-0.30126953125,-0.9936370849609375,-1.6952170133590698,0.6630203127861023,0.9523373246192932
-0.1418914794921875,-0.284454345703125,-1.02239990234375,-1.4575504064559937,0.8313760161399841,0.9599023461341858
-0.1449432373046875,-0.2891387939453125,-1.0549774169921875,-1.1616677045822144,0.9164198040962219,0.9180038571357727
-0.1367950439453125,-0.2802276611328125,-1.0843963623046875,-0.8580742478370667,0.9056622385978699,0.8396432995796204
-0.1472930908203125,-0.2383880615234375,-1.097320556640625,-0.5636452436447144,0.8570464849472046,0.6629753112792969
-0.1570892333984375,-0.1749420166015625,-1.0837860107421875,-0.2818625867366791,0.8060264587402344,0.3830174207687378
-0.1643524169921875,-0.131591796875,-1.095733642578125,0.024337297305464745,0.7026958465576172,0.039985764771699905
-0.1596221923828125,-0.1333770751953125,-1.166717529296875,0.3207932114601135,0.41497480869293213,-0.24942953884601593
-0.142486572265625,-0.140625,-1.173797607421875,0.49857303500175476,0.017359815537929535,-0.4235118627548218
-0.1399078369140625,-0.1537322998046875,-1.1398468017578125,0.5309714674949646,-0.28805896639823914,-0.512114405632019
-0.1241302490234375,-0.1681976318359375,-1.0822601318359375,0.4553680419921875,-0.3685242235660553,-0.5969499349594116
-0.1457366943359375,-0.200927734375,-1.0271453857421875,0.3713114857673645,-0.11768002808094025,-0.7506971955299377
-0.16900634765625,-0.2534637451171875,-1.03656005859375,0.43247178196907043,0.4032457172870636,-0.9606783390045166
-0.121490478515625,-0.4816741943359375,-1.0764923095703125,1.2816123962402344,0.9246713519096375,-0.9735060334205627
-0.0513153076171875,-0.6195831298828125,-1.131500244140625,1.6964505910873413,0.7669983506202698,-0.7977309823036194
-0.045013427734375,-0.3693389892578125,-0.95068359375,1.9235575199127197,0.313777357339859,-0.3365953266620636
0.0907745361328125,-0.116119384765625,-0.914306640625,2.0556557178497314,0.8086893558502197,0.25335022807121277
0.1900787353515625,-0.02618408203125,-0.9888458251953125,1.8781352043151855,1.897979497909546,0.6912985444068909
0.122955322265625,-0.152557373046875,-1.0284423828125,1.7529911994934082,1.9363911151885986,0.8038144707679749
-0.038970947265625,-0.3368988037109375,-1.06085205078125,1.7808150053024292,1.1149091720581055,0.6206406354904175
-0.1282958984375,-0.3784637451171875,-1.0453948974609375,1.68411386013031,0.3991695046424866,0.27246055006980896
-0.14019775390625,-0.3206024169921875,-0.990814208984375,1.5149791240692139,-0.0057678744196891785,-0.08048232644796371
-0.140625,-0.273406982421875,-0.959075927734375,1.3766348361968994,-0.23227478563785553,-0.37041375041007996
-0.1479339599609375,-0.2892608642578125,-0.9321746826171875,1.2020177841186523,-0.3404976725578308,-0.5415900349617004
-0.120880126953125,-0.3520355224609375,-0.9097747802734375,0.993297278881073,-0.3854728639125824,-0.5901815295219421
-0.05780029296875,-0.4415435791015625,-0.9044036865234375,0.844605565071106,-0.5026295781135559,-0.5732166767120361
0.019287109375,-0.5187530517578125,-0.89556884765625,0.7541787028312683,-0.734927773475647,-0.4694870710372925
0.0712738037109375,-0.5565185546875,-0.8603668212890625,0.7145889401435852,-1.0162726640701294,-0.31315845251083374
0.08453369140625,-0.5395050048828125,-0.814239501953125,0.7010473012924194,-1.199604868888855,-0.21494746208190918
0.0557861328125,-0.4843597412109375,-0.776397705078125,0.6941774487495422,-1.2564098834991455,-0.1858510971069336
-0.0052032470703125,-0.4451904296875,-0.757080078125,0.7297345995903015,-1.2249672412872314,-0.15927167236804962
-0.0427398681640625,-0.4464263916015625,-0.742156982421875,0.7808111310005188,-1.077288031578064,-0.1126522421836853
-0.0946807861328125,-0.468597412109375,-0.7209625244140625,0.7737007737159729,-0.7522860169410706,-0.061949655413627625
-0.1398162841796875,-0.4854583740234375,-0.690093994140625,0.7017759680747986,-0.26531583070755005,-0.028628980740904808
-0.1452789306640625,-0.4954071044921875,-0.6712799072265625,0.5741825699806213,0.297262042760849,-0.037936728447675705
-0.13739013671875,-0.501800537109375,-0.667205810546875,0.43063846230506897,0.7794235944747925,-0.07266541570425034
-0.13507080078125,-0.5056610107421875,-0.6729278564453125,0.27643531560897827,0.9922959208488464,-0.0961100235581398
-0.1155242919921875,-0.5191192626953125,-0.7014923095703125,0.16254283487796783,0.8972852826118469,-0.09547405689954758
-0.085205078125,-0.5350494384765625,-0.7599334716796875,0.10149626433849335,0.6228446364402771,-0.05764545127749443
-0.0622406005859375,-0.5382537841796875,-0.81304931640625,0.0801912397146225,0.3143635392189026,-0.007762582041323185
-0.0556488037109375,-0.5390777587890625,-0.8457183837890625,0.0641251876950264,0.043956805020570755,0.027890753000974655
-0.0609588623046875,-0.5423583984375,-0.8448944091796875,0.024047812446951866,-0.16903722286224365,0.021619807928800583
-0.0767059326171875,-0.55126953125,-0.830413818359375,-0.050096191465854645,-0.32927030324935913,-0.019172362983226776
-0.0758819580078125,-0.5548553466796875,-0.8170623779296875,-0.1683027297258377,-0.44187942147254944,-0.053880807012319565
-0.0692291259765625,-0.556396484375,-0.8001861572265625,-0.2723681330680847,-0.5433322787284851,-0.07356370240449905
