create_date,uuid,label,action,pose,usrn_len,pswd_len,total_time,hold-time,inter-time,distance
2023-08-30-10:11:09,699135f7fb75498bbd11ee45b2949bae,yangxiaoyu,1,2,11,10,11772,"[21, 47, 31, 18, 90, 44, 67, 32, 48, 61, 20, 51, 47, 22, 56, 49, 35, 39, 38, 51, 49]","[0, 904, 362, 571, 638, 560, 395, 520, 118, 267, 423, 1869, 315, 369, 154, 210, 299, 448, 531, 343, 110]","[0, 246.71080686143895, 180.49315160907844, 250.85298926307854, 279.0718744537169, 208.14124477810196, 211.79654807805005, 216.25936074794802, 10.20348524334267, 137.7574357743026, 185.91276329385127, 119.54032327582564, 181.17456284540117, 205.83110660064102, 66.60413734229361, 89.02933349308094, 191.80140191817625, 244.36857408431223, 292.76080490545337, 117.22959429161986, 37.60171390892829]"
2023-08-30-10:14:13,53b88ef10a6c44c6bb0ef1364374a3e8,yangxiaoyu,1,4,11,10,9927,"[2, 21, 29, 35, 21, 38, 28, 49, 35, 65, 45, 48, 30, 52, 58, 54, 38, 35, 48, 64, 65]","[0, 417, 364, 591, 410, 432, 338, 415, 112, 237, 465, 1238, 366, 576, 161, 188, 347, 306, 472, 214, 75]","[0, 265.3352177487523, 194.32504270479973, 266.25572502973733, 303.014851121195, 232.57806335842503, 231.17141307311817, 228.88522111408693, 11.080513425729848, 134.76110549990145, 181.22944327870985, 131.5750736271882, 174.38463235044537, 219.45715856276928, 76.48529270389177, 86.88514129457221, 207.7769236464916, 261.2870919973745, 297.7005393194831, 108.35179329900873, 28.38231060987735]"
2023-09-13-10:51:26,64f2d536b16f4546a03a62608b57e30a,yangxiaoyu,1,1,11,10,14044,"[28, 63, 76, 13, 67, 43, 70, 60, 64, 82, 37, 68, 42, 76, 76, 69, 72, 61, 91, 79, 73]","[0, 449, 615, 524, 657, 518, 314, 884, 262, 573, 563, 2025, 584, 550, 326, 332, 313, 569, 402, 432, 266]","[0, 255.3550904568425, 169.69318718728152, 246.24581214713075, 303.03098484771783, 222.00100099874425, 200.1113578874412, 212.75128932890422, 4.055175020198806, 144.04667453448712, 182.0369315398512, 109.18892902772802, 195.17968928941124, 223.59089625673244, 79.1657894688244, 91.11775043560088, 200.0872032112221, 241.00023052086718, 277.4246644486471, 106.1136707079305, 39.032749782145245]"
2023-09-14-10:42:12,93cb15bfb2064778a6635b12826925f3,yangxiaoyu,1,1,11,10,19052,"[58, 77, 13, 82, 18, 71, 77, 82, 28, 6, 62, 61, 74, 65, 62, 62, 65, 40, 31, 96, 73, 76, 63, 55, 22, 78, 67]","[0, 1085, 416, 42, 390, 444, 1363, 96, 489, 655, 922, 631, 565, 718, 255, 546, 592, 2194, 763, 655, 170, 608, 256, 514, 551, 347, 277]","[0, 254.66863000988383, 186.23402243175414, 1.3333333333332575, 265.20139098009605, 299.1032894800353, 309.4979806073054, 2.23606797749979, 2.9814239699997027, 157.09621963058893, 307.73184575030405, 229.7547001090995, 224.8616858821836, 232.6716809392822, 1.6666666666666288, 145.39792142790614, 189.33450703861558, 130.0119652613217, 194.1182343029343, 222.33733129838743, 71.449282711585, 109.43541981968691, 218.25494776114977, 245.14848108397032, 280.09145331877266, 94.41810090113958, 21.751117468100592]"
2023-09-14-10:42:55,6ffc4ebdd209497482829cb842671de9,yangxiaoyu,1,2,11,10,13394,"[11, 33, 51, 21, 48, 11, 59, 40, 60, 48, 72, 33, 64, 49, 43, 50, 55, 71, 63, 61, 54, 48, 40]","[0, 616, 386, 421, 614, 513, 734, 296, 441, 1155, 180, 359, 373, 1243, 361, 716, 181, 288, 188, 473, 648, 550, 118]","[0, 259.00772189261085, 176.83835996625723, 245.41331350284244, 296.16483773586475, 266.65760401266976, 147.5688163385326, 144.76379228092762, 216.09675045117078, 213.5065052352686, 5.27046276694733, 145.69107347016453, 187.6811717307365, 121.38551991256799, 174.42421149472216, 224.5442915972011, 77.73816451539244, 100.62581952737361, 211.158181886892, 243.4361084327649, 262.30373615333815, 83.95898469557096, 31.06444913401811]"
2023-09-14-10:43:51,7f5ae378566d4d498cd7076452878b3d,yangxiaoyu,1,3,11,10,21493,"[76, 63, 90, 76, 65, 77, 91, 70, 50, 82, 63, 69, 83, 57, 58, 80, 29, 43, 43, 32, 66, 21, 22, 69, 72, 76, 74, 78, 38, 31, 38, 57, 70, 29, 61, 78, 76, 65, 71, 71, 56, 57, 1030, 80, 74, 47, 56, 57, 50, 23, 69, 86, 64, 75, 68, 73, 70, 59, 39, 63, 54, 41]","[0, 138, 211, 108, 43, 151, 59, 121, 78, 134, 179, 1600, 59, 45, 158, 72, 600, 396, 337, 69, 52, 96, 779, 327, 268, 145, 122, 190, 1224, 85, 80, 70, 62, 106, 498, 443, 89, 94, 206, 154, 169, 62, 556, 67, 61, 71, 68, 78, 85, 93, 559, 1225, 129, 135, 223, 182, 138, 215, 492, 819, 309, 98]","[0, 255.77181670821793, 188.85061703779408, 262.53486540944533, 301.6931848381362, 234.46985117731256, 233.000953741491, 241.6666666666667, 2.23606797749979, 166.03346382916646, 200.55063090291077, 121.65753390380533, 178.0536748037263, 229.6869850712293, 68.83958809354459, 89.19641248391103, 232.45596954644506, 36.08631627393171, 2.7487370837451715, 6.342099196813408, 0.33333333333337123, 1.6666666666667425, 3.5433819375782236, 158.468363474298, 182.0088520435812, 237.28557571931015, 64.25815987959126, 94.24318425105223, 220.4341675471891, 3.144660377352209, 2.6034165586356, 1.3743685418724616, 2.134374745810944, 2.357022603955201, 163.835283135227, 180.13605968822566, 243.71796085730827, 72.68271993932106, 108.82452746406841, 218.1846822202594, 260.21380098338796, 282.0598833187339, 105.53672346628922, 10.20348524334267, 1.490711984999775, 0.47140452079100487, 0.33333333333337123, 1.0540925533894718, 1.201850425154642, 2.403700850309347, 144.07482623815847, 184.79117343038268, 234.04652908722608, 70.25113680377146, 112.9960667948717, 226.5629664746156, 263.6995344031621, 293.09024018020267, 83.20389948126764, 131.3219115168693, 150.62019932414265, 31.019706997684924]"
2023-09-14-10:44:27,cafb4520da244d56a74f6eb75089ee47,yangxiaoyu,1,3,11,10,9684,"[2, 80, 67, 69, 89, 79, 56, 80, 67, 121, 62, 75, 36, 87, 79, 72, 70, 27, 65, 40, 54]","[0, 140, 309, 166, 106, 254, 195, 238, 102, 169, 174, 1142, 493, 372, 593, 223, 241, 489, 295, 377, 264]","[0, 271.2645285407667, 206.34302615897744, 268.85270647285256, 308.49545287482675, 250.67220738557265, 251.36007815261533, 251.33687000164187, 4.346134936801754, 163.65987765960097, 203.55343278854323, 130.77419045396104, 193.37758114344305, 234.38643305447522, 65.77148993970636, 122.71828624038793, 246.6858100679666, 275.75935563861157, 292.21377258590826, 104.75633102055882, 34.41575866437416]"
2023-09-14-10:45:37,5348413e3f3c44d0a0fad96eaf4d6ea5,yangxiaoyu,1,4,11,10,11523,"[39, 57, 53, 38, 51, 37, 57, 47, 48, 41, 58, 37, 45, 60, 56, 37, 50, 38, 56, 63, 48]","[0, 567, 297, 372, 918, 366, 342, 523, 193, 374, 587, 1290, 457, 448, 300, 618, 363, 519, 371, 323, 110]","[0, 261.45001646798784, 188.19965757437262, 258.0861182714879, 287.0193566836758, 219.00228309312212, 227.8394293259083, 225.17061432512807, 1.666666666666697, 145.11384419750513, 185.75170105397277, 120.57823647371494, 184.41355999793265, 219.3835428852604, 83.29399071294938, 95.14214511864752, 212.51986835221888, 252.73361030495678, 281.1667160640147, 99.68060103260927, 35.025387617809194]"
2023-09-14-10:46:18,0fe67cc8eb93475eb434ea987aa61c76,yangxiaoyu,1,5,11,10,13226,"[84, 75, 63, 1, 55, 53, 54, 37, 31, 96, 16, 3, 25, 43, 90, 61, 36, 58, 45, 88, 20, 52, 32]","[0, 129, 538, 299, 1236, 516, 197, 664, 120, 384, 167, 1452, 1175, 442, 236, 91, 164, 352, 556, 166, 55, 618, 135]","[0, 264.3408994293375, 186.68690366493314, 262.5638546673509, 308.1732917982637, 231.4865006863251, 240.13630388686428, 241.33885813197276, 3.77123616632828, 138.18666923967575, 184.09780009549277, 330.3575504072991, 316.63929706283216, 150.44969628121925, 185.53226733434332, 223.6922489095727, 77.22765768240745, 109.32113753117972, 215.6275080369437, 268.90601414703326, 297.6995129320839, 98.4016711691874, 33.09917756615045]"
2023-09-14-10:47:06,441d7fb268b14c0fa7e80e0a246c30b2,yangxiaoyu,1,3,11,10,14607,"[51, 72, 74, 58, 72, 78, 60, 64, 80, 73, 70, 75, 72, 75, 66, 71, 78, 32, 23, 56, 41, 37, 51, 69, 71, 90, 63, 56, 65, 22, 13, 63, 68, 103, 74, 73, 67, 70, 71, 69, 53, 50]","[0, 122, 262, 157, 146, 614, 200, 279, 62, 146, 163, 1286, 147, 51, 108, 121, 69, 857, 77, 69, 94, 372, 218, 366, 240, 194, 135, 645, 86, 87, 89, 69, 735, 299, 608, 154, 210, 313, 358, 97, 255, 103]","[0, 266.71874491473017, 204.91082071097284, 267.03516206256023, 294.0162504957092, 235.3569393259712, 238.42655519514227, 243.00091449302084, 2.4267032964268966, 162.0030863903525, 193.05641086940832, 126.31706139710508, 178.67786034586874, 239.6353711602507, 75.26250357544885, 78.56066304313997, 195.05440836397986, 119.93516767172353, 0.7453559924999129, 1.6666666666666288, 2.5385910352880043, 3.543381937578213, 2.0275875100993943, 165.07102848302745, 183.0825557562004, 240.5976355291594, 76.07087338645309, 161.72473184052242, 3.8005847503304233, 2.1081851067789437, 0.7453559924999129, 1.6996731711975652, 157.52812799976743, 192.18769760604116, 230.9066670516226, 64.4713545348285, 108.69580386462845, 207.9706175828157, 258.11797474970405, 294.4980663962178, 104.4232839084379, 33.28329577697763]"
