accX,accY,accZ,gyroX,gyroY,gyroZ
-1.3630115985870361,3.524627685546875,9.059226989746094,0.061084724962711334,-0.40728241205215454,-0.4186594486236572
-1.3749756813049316,3.493520975112915,8.97787094116211,0.0787992998957634,-0.4127800464630127,-0.48279839754104614
-0.9586246013641357,3.6370904445648193,9.203095436096191,0.04153761267662048,-0.3761292099952698,-0.5964159965515137
-0.5443671345710754,3.706482172012329,9.428020477294922,-0.0916270911693573,-0.35597124695777893,-0.6055787205696106
-0.46061834692955017,3.538984775543213,9.23898696899414,-0.24746949970722198,-0.2557922899723053,-0.5145624876022339
-0.8246265053749084,3.2231321334838867,8.982656478881836,-0.27862271666526794,-0.17393875122070312,-0.447369247674942
-0.9083753228187561,3.213261604309082,8.949156761169434,-0.23464170098304749,-0.13545538485050201,-0.4724139869213104
-0.7668996453285217,3.263810157775879,9.107381820678711,-0.19860170781612396,-0.1385096162557602,-0.5170058608055115
-0.8123632669448853,3.1701908111572266,9.112167358398438,-0.24136102199554443,-0.1378987729549408,-0.5640410780906677
-0.8294121623039246,3.064906597137451,9.011369705200195,-0.32871219515800476,-0.1360662281513214,-0.6587987542152405
-0.9634101986885071,3.086441993713379,8.965906143188477,-0.3745257258415222,-0.11896250396966934,-0.7718055248260498
-1.0136594772338867,3.2542388439178467,9.075976371765137,-0.34153997898101807,-0.19409671425819397,-0.8499939441680908
-0.8988040089607239,3.445664644241333,9.08554744720459,-0.27740100026130676,-0.2673983871936798,-0.859767496585846
-0.8557332158088684,3.5054850578308105,9.136096000671387,-0.26762744784355164,-0.27350685000419617,-0.8402203917503357
-0.90358966588974,3.445664644241333,9.148059844970703,-0.299391508102417,-0.23929941654205322,-0.7852441668510437
-1.2266206741333008,3.069692373275757,9.155238151550293,-0.27923354506492615,-0.0847550556063652,-0.7339329719543457
-1.4829518795013428,2.8399813175201416,9.104989051818848,-0.1259108930826187,-0.06520794332027435,-0.7394306063652039
-1.5020943880081177,2.883052110671997,9.061619758605957,0.047646086663007736,-0.07803573459386826,-0.7889092564582825
-1.4997016191482544,3.0672996044158936,8.95394229888916,0.1429382562637329,-0.05543438717722893,-0.8335011005401611
-1.4997016191482544,3.2446675300598145,9.095118522644043,0.1569877415895462,-0.021226942539215088,-0.8420529365539551
-1.4781662225723267,3.2108688354492188,9.09272575378418,0.15515519678592682,0.019088976085186005,-0.8145648241043091
-1.6241283416748047,3.124727249145508,9.296415328979492,0.2101314514875412,0.13148486614227295,-0.744928240776062
-1.7820546627044678,3.1199417114257812,9.600303649902344,0.261442631483078,0.149199441075325,-0.7058340311050415
-2.0359928607940674,2.9739794731140137,9.792028427124023,0.3549022674560547,0.05512896552681923,-0.6575770974159241
-2.191526412963867,2.818445920944214,9.633803367614746,0.3970507085323334,-0.04993676394224167,-0.6679614782333374
-2.246561288833618,2.8160531520843506,9.588339805603027,0.40071579813957214,-0.09208522737026215,-0.7094991207122803
-2.308774709701538,2.8878378868103027,9.564411163330078,0.39643988013267517,-0.1391204595565796,-0.772416353225708
-2.339881420135498,3.2012975215911865,9.571589469909668,0.3549022674560547,-0.23991025984287262,-0.911078691482544
-1.9881365299224854,3.6921253204345703,9.49501895904541,0.2724378705024719,-0.3352024257183075,-0.9813261032104492
-1.9618154764175415,3.812065601348877,8.451150894165039,0.1582094430923462,-0.3975088596343994,-0.9672766327857971
-1.4135600328445435,3.9101712703704834,9.428020477294922,-0.00916270911693573,-0.27656111121177673,-1.0112576484680176
-2.323131799697876,3.4193434715270996,9.844670295715332,-0.02504473738372326,-0.565568208694458,-0.9361234307289124
-1.827518343925476,3.5437703132629395,9.509376525878906,-0.009773556143045425,-0.7323294878005981,-1.022863745689392
-1.430309772491455,3.352344512939453,9.413662910461426,-0.045202698558568954,-0.7359945774078369,-1.0564603805541992
-1.231406331062317,3.2303106784820557,9.174381256103516,-0.08857285231351852,-0.7628718614578247,-1.017976999282837
-1.114158034324646,3.148655414581299,8.987442016601562,-0.13629528880119324,-0.7500441074371338,-1.017976999282837
-1.0423734188079834,3.1319057941436768,8.784051895141602,-0.1656159609556198,-0.7237776517868042,-1.0259180068969727
-0.6711867451667786,3.2084760665893555,8.599804878234863,-0.217537984251976,-0.5619031190872192,-1.0027058124542236
-0.4366901218891144,3.1677980422973633,8.69791030883789,-0.193104088306427,-0.37735089659690857,-0.9025267958641052
-0.5539384484291077,2.8950161933898926,8.906085968017578,-0.04214845970273018,-0.3364241421222687,-0.7834116220474243
-0.6831508874893188,2.6458635330200195,9.013762474060059,0.12644538283348083,-0.3840702176094055,-0.7235485911369324
-0.7980063557624817,2.4496521949768066,8.989834785461426,0.1960819661617279,-0.40606072545051575,-0.753480076789856
-0.711864709854126,2.5022943019866943,9.181559562683105,0.11239589750766754,-0.3242071866989136,-0.8817580342292786
-0.6400800347328186,2.6315066814422607,9.389735221862793,0.01832541823387146,-0.2845021188259125,-0.9440644383430481
-0.49651068449020386,2.7275187969207764,9.490233421325684,-0.047646086663007736,-0.30343836545944214,-0.9758284687995911
-0.2955136001110077,2.7299115657806396,9.514162063598633,-0.05925218388438225,-0.40483900904655457,-0.9929322004318237
-0.2787638306617737,2.5118656158447266,9.09272575378418,-0.004886778071522713,-0.48241662979125977,-1.0222529172897339
-0.21146570146083832,2.4185454845428467,9.028120040893555,0.0525328628718853,-0.40789327025413513,-1.073564052581787
-0.46779683232307434,2.437688112258911,9.384949684143066,0.09895725548267365,-0.3217637836933136,-1.1419789791107178
-0.6137589812278748,2.5573291778564453,9.801599502563477,0.09651386737823486,-0.3382566571235657,-1.2085613012313843
-0.6185446381568909,2.7275187969207764,9.8207426071167,0.05497625470161438,-0.44759833812713623,-1.2623158693313599
0.02063809521496296,2.904587507247925,9.3490571975708,0.047646086663007736,-0.3449759781360626,-1.1676344871520996
0.1737787425518036,2.9428727626800537,9.320343017578125,0.05925218388438225,-0.36574479937553406,-1.1456440687179565
0.2192423790693283,2.969193696975708,9.428020477294922,0.042759306728839874,-0.3339807391166687,-1.1077715158462524
0.06131608039140701,2.9093732833862305,9.585947036743164,0.00916270911693573,-0.3083251416683197,-1.082115888595581
-0.0032901312224566936,2.9165515899658203,9.787242889404297,-0.017714571207761765,-0.28755635023117065,-1.0802834033966064
0.05892325937747955,2.8926234245300293,9.863813400268555,-0.0018325417768210173,-0.28694549202919006,-1.0570712089538574
0.00867398176342249,2.9093732833862305,9.885348320007324,0.023212196305394173,-0.3077143132686615,-1.0338590145111084
-0.15164513885974884,2.952444076538086,9.985847473144531,0.06169557198882103,-0.40728241205215454,-0.9953756332397461
-0.6376872062683105,3.04097843170166,10.268499374389648,0.05741964280605316,-0.5759525895118713,-0.9953756332397461
